LL_ZombieCheck	HOLD IT.	ARRÊTE-TOI.
LL_ZombieCheck	What?	Quoi ?
LL_ZombieCheck	Look.	Regarde.
LL_ZombieCheck	Look at what you missed.	Regarde ce que tu as manqué.
LL_ZombieCheck	(Look out over the chamber.)	(Embrasser la salle du regard.)
LL_ZombieCheck	There is a ZOMBIE.	Il y a un ZOMBIE.
LL_ZombieCheck	Right between the apple piles.	Juste entre les tas de pommes.
LL_ZombieCheck	Oh. Is that relevant to me?	Oh. Est-ce pertinent pour moi ?
LL_ZombieCheck	And what exactly should I do about that?	Et que devrais-je faire exactement à ce sujet ?
LL_ZombieCheck	It is the job of a cleric to take care of any roaming zombie that might show up.	C'est le travail d'un clerc que de s'occuper de tout zombie errant qui pourrait se présenter.
LL_ZombieCheck	Take care of it how?	M'en occuper comment ?
LL_ZombieCheck	That sounds dangerous.	Cela paraît dangereux.
LL_ZombieCheck	(Look beyond the apple pile.)	(Regarder au-delà du tas de pommes.)
LL_ZombieCheck	M-So...	M-Alors...
LL_ZombieCheck	Via fierce battle.	Par un combat féroce.
LL_ZombieCheck	Via careful strategic choices.	Par des choix stratégiques judicieux.
LL_ZombieCheck	It is.	En effet.
LL_ZombieCheck	You can handle it.	Tu peux le gérer.
LL_ZombieCheck	You are feeling rather sweaty at the thought.	Tu te sens plutôt en sueur à cette pensée.
LL_ZombieCheck	Yes, of course.	Oui, bien sûr.
LL_ZombieCheck	You have yet to prepare your spells!	Tu n'as pas encore préparé tes sorts !
LL_ZombieCheck	You may do so at the shrine, so egregiously covered in apples.	Tu peux le faire au sanctuaire, si outrageusement recouvert de pommes.
LL_ZombieCheck	Without magic you are essentially walking around nude.	Sans magie, tu te promènes essentiellement nu.
LL_ZombieCheck	It is foolish and degenerate.	C'est sot et dégénéré.
LL_ZombieCheck	Go prepare your spells. Now.	Va préparer tes sorts. Maintenant.
LL_ZombieCheck	YES.	OUI.
LL_ZombieCheck	Yes.	Oui.
LL_ZombieCheck	There is a fresh part of the pile.	Il y a une partie fraîche du tas.
LL_ZombieCheck	Between the shambling man and the shrine.	Entre l'homme titubant et le sanctuaire.
LL_ZombieCheck	Go. CONSUME.	Va. CONSOMME.
LL_ZombieCheck	You peer across the chamber.	Tu scrutes la salle.
LL_ZombieCheck	Beyond you see another staircase, and...	Au-delà tu vois un autre escalier, et...
LL_ZombieCheck	A sword.	Une épée.
LL_ZombieCheck	A weapon?	Une arme ?
LL_ZombieCheck	That settles it. You must defeat this zombie. Right away.	C'est décidé. Tu dois vaincre ce zombie. Sur-le-champ.
LL_ZombieCheck	Looking closer, you do notice something else.	En regardant de plus près, tu remarques bien autre chose.
LL_ZombieCheck	The blade on the sword is broken.	La lame de l'épée est brisée.
LL_ZombieCheck	...Oh. Well.	...Oh. Bon.
LL_ZombieCheck	You can work with that.	Tu peux faire avec.
LL_ZombieCheck	Yes. It is time.	Oui. Il est temps.
LL_ZombieCheck	Time to leave, more like.	Temps de partir, plutôt.
LL_ZombieCheck	Don't listen to the red guy. Not worth it.	N'écoute pas le rouge. Ça vaut pas la peine.
LL_ZombieCheck	...Though, yeah, you should probably still prep some spells before leaving.	...Cela dit, ouais, tu devrais quand même préparer quelques sorts avant de partir.
LL_ZombieCheck	Fine. I'll go deal with the zombie real quick. (Stay?)	D'accord. Je vais m'occuper du zombie vite fait. (Rester ?)
LL_ZombieCheck	No. I just wanna leave this place. Right now. (Leave?)	Non. Je veux juste quitter cet endroit. Tout de suite. (Partir ?)
LL_ZombieCheck	Yes. Very good.	Oui. Très bien.
LL_ZombieCheck	...Though the zombie does look very scary. Be wary.	...Cela dit, le zombie a l'air bien effrayant. Sois prudent.
LL_ZombieCheck	(Get ready?)	(Se préparer ?)
LL_ZombieCheck	Weakling.	Mauviette.
LL_ZombieCheck	Hm. Fine, yes. That might be for the best.	Hum. Bon, oui. Ce serait peut-être mieux ainsi.
LL_ZombieCheck	E-Let's get out of here?	E-Filons d'ici ?
